distrito,area,no distrito,adminstracao,pop total,pop homens,pop mulheres,razao sexo,razao dependencia,indice envelhecimento,casas particulares,moradores casas particulares,casa quitado,casa em aquisicao,casa alugado,casa cedido por empregador,casa cedido de outra forma,casa outras condicoes,abastecimento total,abastecimento por rede geral,abastecimento por poco,abastecimento por outros,distribuicao agua por dia,distribuicao agua ideal,populacao abastecida,casas com banheiro,casas sem banheiro,residuo solido encaminhado para aura,sem instrucao e menos de 1 ano,1 a 3 anos de instrucao,4 a 7 anos de instrucao,8 a 10 anos de instrucao,11 a 14 anos de instrucao,15 anos ou mais de instrucao,pop alfabetizada,pop_nao-alfabetizada,escolas,anexos escolares,matricula total,transferencia escolar,abandono escolar
DABEL,13697605.48,7,Belem,144948,63484,81646,75.76,39.43,55.34,42963,144490,29113,1797,10586,344,935,188,36606,30549,6011,46,0,0,0,42705,27,45180.3,308,1299,4629,3634,12638,13962,130217,3249,10,7,4607,144,524
DABEN,32886978.13,4,Bengui,284670,136661,148009,94.38,54.92,8.06,75946,284334,59580,3526,9499,327,2006,1008,56383,26415,25126,4842,5456,2894,14651,72259,1263,37644.2,3475,8705,17134,12018,12330,2616,187210,23427,12,13,11401,329,986
DAENT,67521726.47,5,Entroncamento,125400,58968,66432,88.90,44.98,18.02,34071,125239,24492,940,6456,1043,967,173,27560,20138,6902,520,0,0,0,32778,300,30109.6,1230,3169,6866,5015,8069,3114,98534,7762,6,8,5707,170,667
DAGUA,14403233.12,8,Guama,342742,161969,180773,91.47,48.88,15.68,85722,342377,66860,629,14771,140,3105,217,75906,72537,2701,668,0,0,0,78661,884,102124.0,5682,13136,23727,14322,15421,3446,284385,32397,21,10,13952,303,1541
DAICO,33153421.14,3,Icoaraci,167035,81409,85626,96.14,56.76,9.16,44614,166915,34466,2354,5732,180,1645,237,31522,12785,15794,2943,24402,20754,103557,41551,943,24094.0,2157,5379,10786,6636,5670,787,103331,14573,14,5,9956,393,1178
DAMOS,219673290.21,1,Mosqueiro,33232,16632,16600,102.36,67.28,12.78,8766,33152,7010,38,530,452,484,252,6347,2995,3048,304,8793,5086,24438,8016,174,7617.22,836,1520,2047,968,856,110,20102,4249,8,4,5709,193,647
DAOUT,110262813.43,2,Outeiro,38731,19472,19259,101.98,67.78,9.19,10620,38664,8924,144,822,150,539,41,6338,1842,3473,1023,4289,3384,17056,9110,298,10526.8,738,1446,2169,1182,703,91,18239,4514,3,17,4343,173,349
DASAC,14902793.30,6,Sacramenta,256641,120413,136228,89.80,67.78,17.97,66175,256465,50994,921,11758,131,2104,267,55690,50805,4250,635,0,0,0,63021,459,69307.0,3257,8302,16502,10545,12925,4041,207068,20057,11,4,7978,256,1259
